"prov_code","prov_name","muni_code","muni_name","c1842","c1857","c1860","c1877","c1887","c1897","c1900","c1910","c1920","c1930","c1940","c1950","c1960","c1970","c1981","c1991","c2001","c2011"
19,"guadalajara","19334","Zarzuela de Jadraque",190,NA,NA,406,405,393,391,498,509,445,424,376,301,143,75,31,41,43
19,"guadalajara","19335","Zorita de los Canes",120,NA,NA,175,155,163,150,156,151,184,195,198,157,135,94,103,91,99
19,"guadalajara","19500","Aguilar de Anguita",96,NA,NA,228,217,220,240,235,252,268,253,222,183,NA,NA,NA,NA,NA
19,"guadalajara","195000","Aragosa",135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195001","Barbatona",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195002","Barbolla, La",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195003","Bayalcayado",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195004","Bochones",165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195005","Buenafuente del Sistal, La",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195006","Cabida",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195007","Canizares",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195008","Cardenosa",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195009","Casillas",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","19501","Alboreca",109,NA,NA,223,234,226,243,231,187,207,220,182,157,NA,NA,NA,NA,NA
19,"guadalajara","195010","Cendejas del Padrastro",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195011","Chera",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195012","Cirueches",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195013","Cubillas",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195014","Cuevas Minadas",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195015","Escalera",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195016","Fraguas",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195017","Jodra del Pinar",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195018","Loma, La",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195019","Mojares",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","19502","Alcuneza",158,NA,NA,379,347,339,398,458,505,529,493,405,326,NA,NA,NA,NA,NA
19,"guadalajara","195020","Moranchel",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195021","Naharros",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195022","Nava de Jadraque, La",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195023","Novella",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195024","Otilla",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
